,he,en,ru,keys
84,"חיברנו את מיטב המארגנים מכל העולם באתר אחד, כך שתוכלו להגיע בנוחות ובמהירות לרגשות חדשים, להשיג מיומנויות מועילות ולמצוא חברים חדשים.",Find an event now,"Мы соединили на одной площадке лучших организаторов со всего мира, чтобы вы смогли удобно и быстро получить новые эмоции, обрести полезные навыки и найти новых друзей.",mainPicPreview
85,כל יום הוא חג עם זוזאן!,Manage a dream holiday - choose the best professionals from anywhere in the world.,Найти событие,makeYourEventWithZuzan
86,"להיות חלק מאירוע בכל קנה מידה. בחר אירוע, השתתף ומצא אנשים בעלי אופקים דומים ברחבי העולם.",New experiences day by day!,Найти событие сейчас,manyLinkDescr
87,מצא אירוע,Want to create your own event?,Новые впечатления каждый день!,manyLinks
88,מצא אירוע עכשיו,"We connected the best proffesionals from all over the world on one place so that you can conveniently and quickly get new emotions, gain useful skills and find new friends all around the world.",Организуйте праздник мечты - выберите лучших профессионалов из любой точки мира.,morningAfterTwelve
89,רוצים ליצור אירוע משלכם?,You can quickly and without extra costs find professionals and organize an event of any format anywhere in the world or create an online event without leaving your home and attract your audience.,"Станьте частью события любого масштаба. Выбирайте мероприятие, участвуйте и находите единомышленников по всему миру.",morningUntilTwelve
90,תוכלו למצוא במהירות וללא עלויות נוספות למצוא אנשי מקצוע ולארגן אירוע בכל פורמט בכל מקום בעולם או ליצור אירוע מקוון מבלי לצאת מהבית ולמשוך את הקהל שלכם.,Zuzan is a convenient event platform that can make your life more colourful.,Хотите создать свое событие?,moveFileHere
91,עברית(HE),English(EN),Русский(RU),myBookings
92,שם משפחה,Last name,Фамилия,myEvents
93,קישור לסמינר מקוון או לשידור,Link to webinar or broadcast,Ссылка на вебинар или трансляцию,myWebinar
94,רשימת קישורי סמינר מקוון או שידור,List of links to a webinar or broadcast,Список ссылок на вебинар или трансляцию,nearestEvents
95,"רשימת קישורים, כל אחד בשורה חדשה","List of links, one per line","Список ссылок, каждая на новой строке",noBookEvent
96,לחיות,Live,Live,noEventByFilter
97,להיכנס,Sign In,Войти,noInfo
98,להתנתק,Logout,Выйти,noPhotosInGallery
99,תמונת בסיס (תצוגה מקדימה),Main picture (preview),Обложка,noSuchPage
100,צור את האירוע שלך עם זוזן,Create your event with Zuzan,Создай свое событие вместе с Zuzan,noTickets
101,ארגון שידור / וובינר בפלטפורמה אחרת עם קישורים אישיים לכל משתתף.,To organize a broadcast / webinar on another platform with personal links for each participant,Организация трансляции / вебинара на другой платформе с персональными ссылками для каждого участника.,notFound
102,קישורים רבים,Many links,Много ссылок,now
103,בוקר אחרי 12:00,Morning after 12:00,Утро после 12:00,ok
104,בוקר עד 12:00,Morning until 12:00,Утро до 12:00,onThisWeek
105,העבר קבצים לכאן,Move the file here,Перенесите файлы сюда,online
106,המנויים שלי,My bookings,Мои подписки,opened
107,האירועים שלי,My events,Мои события,organizingEvent
108,הסמינר שלי,My Webinar,Мой вебинар,owner
109,אירועים קרובים,Upcoming events,Ближайшие события,pageProc
110,אין אירועים הוזמנו,No booked events...,Нет забронированных мероприятий,participantLimit
111,אין אירועים למסננים המבוקשים,There are no events for the specified filters.,Нет события по запрашиваемым фильтрам,passowordForLink
112,אין מידע,No information,Нет информации,payments
113,"סליחה, לא הוספת תמונות לגלריה.",Unfortunately you did not add photos to the gallery.,"К сожалению, вы не добавили фотографии в галерею.",phone
114,אין דף כזה,No such page,Нет такой страницы,price
115,אין כרטיסים,No tickets,Нет билетов,priceFree
116,"404, אין עמוד כזה","404, There is no such page","404, нет такой страницы",privateEvent
117,עכשיו,Now,Сейчас,profession
118,בחר,Select,Выбрать,pwd
119,השבוע,This week,На этой неделе,reg
120,באינטרנט,Online,Онлайн,save
121,פתוח,Opened,Открыто,search
122,מארגנים אירוע?,Organizing an event ?,Организовываешь мероприятие?,searchEvent
123,בעלים,Owner,Владелец,searchingEvent
124,"שגיאת עיבוד דפים, אנו כבר יודעים עליה ונתקן אותה בקרוב!","Page processing error, we already know about it and will fix it soon!","Ошибка обработки страницы, мы уже знаем о ней и скоро исправим!",shortDescription
125,מגבלת המשתתפים (0 = ללא הגבלה),Participant Limit (0 = No limit),Лимит участников (0 = Без ограничений),signUp
126,סיסמא להזנת הקישור (לא חובה),Password to enter the link (optional),Пароль для входа по ссылке (не обязательно),siteRules
127,התשלום שלך בוטל.,Your payment succeeded,Ваш платеж успешно завершен,startDate
128,התשלום שלך הושלם בהצלחה,Your payment was canceled,Ваша оплата была отменена,started
129,טלפון,Phone,Телефон,status
130,מחיר,Price,Цена,success
131,מחיר (0 = חינם),Price (0 = Free),Цена (0 = Бесплатно),tickets
132,אירוע פרטי,Private Event,Приватное событие,time
133,מקצוע,Profession,Профессия,title
134,סיסמה,Password,Пароль,toProfile
135,הרשמה,Registration,Регистрация,type
136,להציל,Save,Сохранить,uploadPhoto
137,לחפש,Search,Искать,user
138,אירוע חיפוש,Search event,Искать событие,writeAboutYou
139,מחפש אירוע,Looking for an event,Ищешь мероприятие,wrongEmailOrPwd
140,תיאור קצר,Short description,Краткое описание,yourEmail
141,הירשם,Sign Up,Зарегистрироваться,yourLink
142,כללי האתר,Site rules,Правила сайта,zuzanDescr
143,תאריך התחלה (יכול להיות ריק),Start date,Дата начала (может быть пустым),zuzanKrichalka
144,התחיל,Started,Стартовало,
145,סטטוס,Status,Статус,
146,בהצלחה,Success,Успешно,
147,כרטיסים,Tickets,Билеты,
148,זמן,Time,Время,
149,כותרת,Title,Название,
150,בפרופיל,To profile,В профиль,
151,סוג,Type,Тип,
152,להעלות תמונה,Upload a photo,Загрузить фото,
153,שם,First Name,Имя,
154,שם מלא,Full Name,ФИО,
155,שם משפחה,Last Name,Фамилия,
156,כתוב סיפור קצר על עצמך,Write a short story about yourself,Напишите краткий рассказ о себе,
157,"דוא""ל או סיסמה שגויים",Invalid email or password.,Неверный email или пароль,
158,האימייל שלך,Your email,Ваш e-mail,
159,הקישור שלך,Your link,Ваша ссылка,
160,זוזן הוא צוות צעיר ושאפתן המפתח את מעצב האירועים באתר www.zuzan.com. המשימה שלנו היא להנגיש את ארגון כל אירוע בכל מקום בעולם. עבור המשתמשים הערך של מעצב זוזן הוא היכולת להרים מגוון רחב של אמנים לחופשתם או לפגישתם באותו אתר.,"Zuzan is a young and ambitious team developing Event Designer at www.zuzan.com. Our mission is to make the organization of any event anywhere in the world accessible to everyone. For users, the value of the Zuzan Designer is the ability to pick up a wide variety of artists for their holiday or meeting on the same site.","Zuzan – молодая и амбициозная команда, развивающая Конструктор мероприятий на сайте www.zuzan.com. Наша миссия - сделать организацию любого события в любой точке мира доступной каждому человеку.  Для пользователей ценность Конструктора Zuzan заключается в возможности подобрать множество разнообразных исполнителей для своего праздника или встречи в рамках одного сайта.",
161,"© 2018 - 2020 ООО ""Глобальные праздники"" - קח את המיטב מהחיים",",© 2018 - 2020 Zuzan Global Solutions, Inc. - take the best from life","© 2018 - 2020 ООО ""Глобальные праздники"" - бери от жизни лучшее",
